price,date,postcode,property_type,old_new,duration,district,county
120000,2025-05-23 00:00,SK14 2RN,T,N,L,TAMESIDE,GREATER MANCHESTER
130000,2025-04-25 00:00,M26 1AG,S,N,F,BURY,GREATER MANCHESTER
122500,2025-01-07 00:00,BL6 5NF,T,N,F,BOLTON,GREATER MANCHESTER
170000,2025-03-07 00:00,OL1 3LQ,O,N,F,OLDHAM,GREATER MANCHESTER
170000,2025-03-07 00:00,OL1 3LQ,O,N,F,OLDHAM,GREATER MANCHESTER
128000,2025-03-12 00:00,M26 2SZ,T,N,F,BURY,GREATER MANCHESTER
134000,2025-02-20 00:00,SK14 3BH,T,N,F,TAMESIDE,GREATER MANCHESTER
98000,2025-05-02 00:00,WN7 4DX,T,N,L,WIGAN,GREATER MANCHESTER
125000,2025-05-28 00:00,WN2 3TF,T,N,L,WIGAN,GREATER MANCHESTER
120000,2025-05-09 00:00,OL9 0ES,T,N,L,OLDHAM,GREATER MANCHESTER
170000,2025-04-24 00:00,SK2 6PE,T,N,L,STOCKPORT,GREATER MANCHESTER
160000,2025-06-06 00:00,OL4 2DY,T,N,F,OLDHAM,GREATER MANCHESTER
300000,2025-05-09 00:00,M18 7BZ,T,N,F,MANCHESTER,GREATER MANCHESTER
135000,2025-05-01 00:00,M14 5HZ,O,N,L,MANCHESTER,GREATER MANCHESTER
223000,2025-06-12 00:00,M23 2ZJ,S,N,F,MANCHESTER,GREATER MANCHESTER
202000,2025-07-31 00:00,M24 2JG,T,N,L,ROCHDALE,GREATER MANCHESTER
338000,2025-08-05 00:00,WA14 1LR,T,N,F,TRAFFORD,GREATER MANCHESTER
395000,2025-07-21 00:00,SK8 6JX,S,N,F,STOCKPORT,GREATER MANCHESTER
247000,2025-07-04 00:00,OL15 9QG,T,N,L,ROCHDALE,GREATER MANCHESTER
282000,2025-03-03 00:00,WN6 9JN,S,N,F,WIGAN,GREATER MANCHESTER
347000,2025-08-07 00:00,SK3 9RP,S,N,F,STOCKPORT,GREATER MANCHESTER
672000,2025-07-22 00:00,SK6 6PT,D,N,F,STOCKPORT,GREATER MANCHESTER
350000,2025-03-05 00:00,SK4 3AZ,S,N,L,STOCKPORT,GREATER MANCHESTER
225000,2025-07-25 00:00,M41 7NJ,S,N,F,TRAFFORD,GREATER MANCHESTER
290000,2025-08-08 00:00,M26 3WH,S,N,L,BURY,GREATER MANCHESTER
385000,2025-03-07 00:00,M25 3JA,T,N,F,BURY,GREATER MANCHESTER
895000,2025-08-06 00:00,M33 6PJ,D,N,F,TRAFFORD,GREATER MANCHESTER
350000,2025-08-07 00:00,M41 8DH,S,N,F,TRAFFORD,GREATER MANCHESTER
225000,2025-07-11 00:00,WN2 2LA,T,N,L,WIGAN,GREATER MANCHESTER
160000,2025-07-31 00:00,WN3 5EA,S,N,L,WIGAN,GREATER MANCHESTER
160000,2025-06-30 00:00,OL9 8HW,T,N,L,OLDHAM,GREATER MANCHESTER
250000,2025-03-14 00:00,SK5 7LU,S,N,F,STOCKPORT,GREATER MANCHESTER
300000,2025-02-26 00:00,BL8 4DY,S,N,L,BURY,GREATER MANCHESTER
350000,2025-03-24 00:00,M19 2AR,S,N,F,MANCHESTER,GREATER MANCHESTER
222000,2025-02-28 00:00,OL4 2SN,D,N,L,OLDHAM,GREATER MANCHESTER
277500,2025-05-23 00:00,BL2 3PT,D,N,L,BOLTON,GREATER MANCHESTER
332500,2025-02-21 00:00,SK8 6SG,T,N,L,STOCKPORT,GREATER MANCHESTER
175000,2025-08-04 00:00,M26 2QL,T,N,L,BURY,GREATER MANCHESTER
146000,2025-07-25 00:00,OL2 6AJ,T,N,L,OLDHAM,GREATER MANCHESTER
538000,2025-06-27 00:00,SK8 6HL,S,N,L,STOCKPORT,GREATER MANCHESTER
418000,2025-07-11 00:00,SK8 6LL,S,N,F,STOCKPORT,GREATER MANCHESTER
275000,2025-07-11 00:00,OL2 7ET,S,N,L,OLDHAM,GREATER MANCHESTER
320000,2025-03-14 00:00,SK7 6JB,S,N,L,STOCKPORT,GREATER MANCHESTER
205000,2025-08-04 00:00,BL1 7RF,S,N,L,BOLTON,GREATER MANCHESTER
167000,2025-07-25 00:00,OL5 9PB,T,N,F,TAMESIDE,GREATER MANCHESTER
365000,2025-07-23 00:00,M19 2TF,T,N,L,MANCHESTER,GREATER MANCHESTER
800000,2025-03-31 00:00,M7 4JU,D,N,F,SALFORD,GREATER MANCHESTER
171500,2025-08-15 00:00,M34 3FN,T,N,L,TAMESIDE,GREATER MANCHESTER
116500,2025-06-11 00:00,WN6 8HN,T,N,L,WIGAN,GREATER MANCHESTER
160000,2025-06-27 00:00,M6 5TX,T,N,F,SALFORD,GREATER MANCHESTER
394000,2025-08-08 00:00,BL6 5GZ,D,N,L,BOLTON,GREATER MANCHESTER
415000,2025-08-11 00:00,SK2 6EY,S,N,L,STOCKPORT,GREATER MANCHESTER
190000,2025-08-08 00:00,SK6 3HG,T,N,F,STOCKPORT,GREATER MANCHESTER
178000,2025-06-27 00:00,M20 3LP,F,N,L,MANCHESTER,GREATER MANCHESTER
126500,2025-07-28 00:00,BL1 5XZ,F,N,L,BOLTON,GREATER MANCHESTER
280000,2025-03-28 00:00,OL10 2WL,T,N,F,ROCHDALE,GREATER MANCHESTER
128000,2025-06-25 00:00,WN7 2BQ,F,N,L,WIGAN,GREATER MANCHESTER
